,ENFERMEDADES (001-999),,1
,ENFERMEDADES INFECCIOSAS Y PARASITARIAS (001-139),,2
,ENFERMEDADES INFECCIOSAS INTESTINALES (001-009),,3
001,COLERA,,4
001.0,COLERA.POR VIBRIO CHOLERAE,,5
001.1,COLERA.POR VIBRIO CHOLERAE EL TOR,,6
001.9,COLERA.NEOM,,7
002,FIEBRE TIFOIDEA Y PARATIFOIDEA,,8
002.0,FIEBRE TIFOIDEA,,9
002.1,FIEBRE PARATIFOIDEA A,,10
002.2,FIEBRE PARATIFOIDEA B,,11
002.3,FIEBRE PARATIFOIDEA C,,12
002.9,FIEBRE PARATIFOIDEA NEOM,,13
003,INFECCION POR SALMONELLA OTRA,,14
003.0,GASTRITIS,ENTERITIS Y COLITIS POR SALMONELLA,,15
003.1,SEPTICEMIA POR SALMONELLA,,16
003.2,INFECCION POR SALMONELLA LOCALIZADA (+),,17
003.20,INFECCION POR SALMONELLA LOCALIZADA.NEOM,,18
003.21,MENINGITIS POR SALMONELLA,,19
003.22,NEUMONIA POR SALMONELLA,,20
003.23,ARTRITIS POR SALMONELLA,,21
003.24,OSTEOMIELITIS POR SALMONELLA,,22
003.29,INFECCION POR SALMONELLA LOCALIZADA.OTRA,,23
003.8,INFECCION POR SALMONELLA OTRA,,24
003.9,INFECCION POR SALMONELLA NEOM,,25
004,INFECCION POR SHIGELLA,,26
004.0,INFECCION POR SHIGELLA.DYSENTERIAE,,27
004.1,INFECCION POR SHIGELLA.FLEXNERI,,28
004.2,INFECCION POR SHIGELLA.BOYDII,,29
004.3,INFECCION POR SHIGELLA.SONNEI,,30
004.8,INFECCION POR SHIGELLA.OTRA,,31
004.9,INFECCION POR SHIGELLA.NEOM,,32
005,INTOXICACION ALIMENTARIA POR BACTERIA OTRA,,33
005.0,INTOXICACION ALIMENTARIA POR ESTAFILOCOCO,,34
005.1,BOTULISMO,,35
005.2,INTOXICACION ALIMENTARIA POR CLOSTRIDIUM PERFRINGENS,,36
005.3,INTOXICACION ALIMENTARIA POR CLOSTRIDIUM OTRA,,37
005.4,INTOXICACION ALIMENTARIA POR VIBRIO PARAHAEMOLITICUS,,38
005.8,INTOXICACION ALIMENTARIA POR BACTERIA OTRA (+),,39
005.81,INTOXICACION ALIMENTARIA POR VIBRIO VULNIFICUS,,40
005.89,INTOXICACION ALIMENTARIA POR BACTERIA OTRA.NEOM,,41
005.9,INTOXICACION ALIMENTARIA POR BACTERIA NEOM,,42
